Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	FZ	CZ	PZ	FC1	FC2	CP1	CP2	FC5	FC6	CP5	CP6	FT9	FT10	P9	P10	POZ
207.0312	-2.7300	-1.0240	-1.9348	-0.3833	-1.1419	0.8536	-1.0820	0.0887	-0.3101	-0.2068	-1.9479	3.4795	-0.3329	4.4285	-0.7331	1.5698	-2.0260	-1.0025	-0.6201	-1.6670	-0.7802	-0.8926	-0.3288	-1.1272	2.2692	-1.0567	2.0502	-0.5232	6.0985	-0.3110	1.9603	-0.6361
210.9375	-2.8530	-0.1339	-1.2088	0.8355	-1.2253	0.5371	-1.2291	-0.2917	-0.8603	-0.1097	-2.2421	4.3319	-0.4742	4.0676	-0.7614	1.5622	-0.8887	-1.3867	-1.2338	-1.2848	-0.3670	-1.3983	-0.8790	-0.7263	2.4193	-1.0028	1.5557	-1.0984	5.5564	-0.2855	2.1709	-1.0957
214.8438	-1.7132	0.8470	-0.5600	2.3276	-1.1583	0.5081	-1.5025	-0.7441	-1.2459	-0.3065	-1.6935	4.1051	-0.4212	2.6775	-1.0013	1.1412	0.2402	-1.2422	-1.4878	-0.7295	0.7819	-1.4999	-1.1954	-0.5508	1.2900	-1.1478	0.7092	-0.8280	4.2084	-0.4087	1.9698	-1.3694
218.7500	-2.0030	-0.3488	-1.2093	1.0459	-1.1509	0.7762	-0.9175	-0.0896	-0.5251	0.0543	-1.5414	3.0379	-0.3028	2.7821	-0.5077	1.5099	-0.9344	-1.2756	-0.9647	-1.3100	0.1301	-1.2066	-0.6376	-0.6060	1.1343	-0.7534	1.5147	-0.6931	4.1758	-0.1661	1.7630	-0.7803
222.6562	-3.8325	-1.9275	-1.8973	0.0789	-0.8263	0.7500	-0.3687	0.3183	0.1406	0.7126	-2.5023	2.2687	0.2389	3.1152	0.0672	1.9760	-1.7160	-0.7739	-0.3857	-1.4193	-0.1713	-0.5528	-0.3478	-0.9065	0.6512	-0.3649	1.6084	-0.9577	4.2643	0.4799	2.3972	-0.1170
226.5625	-3.0845	-1.7032	-1.8036	-1.6143	-0.8901	0.2267	-0.4272	0.1390	0.4754	0.7257	-1.9797	1.7349	-0.1292	4.0062	0.3290	2.3748	-2.0762	-0.7550	-0.7704	-1.4771	-1.3360	-0.8312	-0.4161	-0.8745	1.6779	-0.3674	1.5744	-0.8246	4.4090	0.7782	3.4032	-0.4943
230.4688	-2.8779	-0.5794	-0.8782	1.5690	-0.7860	1.2138	-1.1162	-0.4850	-0.9232	-0.9226	-2.2292	3.6959	-0.6722	3.2036	-0.9452	0.7176	-0.1833	-0.2616	-1.0716	-0.4797	0.9265	-0.8988	-0.3555	-0.5438	2.0799	-0.9535	1.4428	-1.3444	4.7470	-0.6959	1.0082	-1.4011
234.3750	-3.7974	-2.1130	-2.0204	-1.4274	-0.8555	0.7275	-0.7098	0.6320	0.4134	0.4170	-2.1952	1.8906	-0.5490	4.0941	-0.3895	2.2816	-2.2205	-0.4237	-0.0244	-1.4572	-1.0336	-0.4121	0.2709	-1.1024	1.6503	-0.8016	1.9774	-0.6519	4.7410	0.1273	3.0615	-0.1000
238.2812	-3.2934	-1.8606	-1.1380	-1.5064	-0.1956	-0.2956	0.1791	0.8284	0.9385	1.4162	-1.6240	-0.2570	0.0409	1.5475	0.4232	2.0402	-1.3063	-0.2129	0.6147	-0.7396	-1.0788	0.1985	0.2498	-0.5619	-0.2735	0.0436	0.4798	-0.3926	0.9010	0.9223	3.0498	0.8630
242.1875	-2.8059	-1.5648	-1.3372	-1.2281	-0.3571	-0.3407	0.2262	0.4580	1.0213	1.1689	-1.4130	0.1343	0.3792	1.6113	0.5616	1.8362	-1.5007	-0.5689	0.4229	-1.0201	-1.0210	0.0274	-0.1013	-0.6480	-0.5029	0.0853	0.3673	-0.0844	1.4515	1.0390	2.9617	0.7421
246.0938	-4.4958	-2.5266	-1.3905	-0.4337	-0.1027	0.3918	0.2944	0.6762	0.9303	0.7488	-2.3462	0.3703	0.1029	1.5266	0.2413	1.5709	-1.1404	0.1638	0.8342	-0.5873	-0.0263	0.4840	0.4982	-0.6175	-0.5166	0.0449	0.7139	-0.7276	1.5673	0.6161	2.3685	0.7666
250.0000	-4.2272	-2.3958	-0.9940	-0.7799	0.2258	-0.2210	0.9195	0.4793	1.3770	0.8971	-2.0516	-0.4666	0.4465	0.6352	0.8527	1.2259	-0.8120	0.2106	1.0049	-0.2808	-0.3003	0.7238	0.3858	-0.2877	-1.0360	0.6170	-0.0464	-0.6321	0.1046	1.1036	2.2852	1.0372
253.9062	-3.6226	-2.6229	-1.5837	-2.3234	0.0636	-0.6617	0.9780	0.8762	1.9145	1.7211	-1.5410	-1.3954	0.7737	0.9958	1.1923	2.0021	-1.9690	-0.1581	1.2568	-0.9642	-1.4601	0.7559	0.3358	-0.6621	-1.4254	0.6276	0.0581	0.0889	0.1779	1.6389	3.3163	1.6160
257.8125	-3.1655	-2.2974	-1.8483	-2.5533	-0.0415	-1.0339	1.0136	0.6506	1.8900	1.9718	-1.4686	-0.9988	1.3746	1.3298	1.4586	1.9757	-2.3897	-0.6032	1.0382	-1.3309	-1.9423	0.6169	-0.2019	-0.8630	-1.4391	0.7039	-0.1368	0.3716	0.8586	1.9777	3.3929	1.6899
261.7188	-4.1695	-2.8410	-1.7308	-1.7483	0.0731	-0.2146	0.4587	1.2070	1.1317	2.0944	-2.2130	-0.7807	0.8261	1.3865	0.7221	2.1733	-1.9130	0.1372	1.1041	-0.8720	-1.0021	0.7909	0.3223	-0.9448	-1.1280	0.2345	0.4711	-0.3540	0.9529	1.3231	2.9532	1.5496
265.6250	-3.6264	-2.4352	-1.5882	-1.5036	-0.1758	-0.1174	0.2158	0.9544	1.0482	1.8334	-1.9036	-0.5983	0.4733	1.5363	0.6163	2.3528	-1.7152	-0.0528	0.6651	-0.9162	-0.8387	0.3611	0.1843	-0.8467	-0.9326	0.0768	0.5654	-0.3483	1.0956	1.2260	3.3323	1.0618
269.5312	-2.0235	-1.5069	-1.1559	-2.0145	-0.2370	-0.5263	0.1787	0.6389	1.1260	1.4725	-0.8735	-0.9041	0.2286	1.3373	0.6369	2.0403	-1.5423	-0.2764	0.4378	-0.8609	-1.3510	0.1053	0.0552	-0.6233	-0.5757	0.0745	0.2432	0.1257	0.5874	1.1576	3.2281	0.7973
273.4375	-3.1094	-2.0395	-0.2113	0.1359	0.5937	0.2169	0.2193	1.0702	0.4346	1.4970	-1.5579	-1.8362	0.0621	-1.0203	0.1074	1.2216	0.3075	1.2654	1.0890	0.6737	0.9301	1.0451	0.8092	-0.2420	-1.9607	0.1212	-0.3121	-0.6826	-2.1120	0.5615	1.6275	1.0951
