Time	Fp1	Fp2	F3	F4	C3	C4	P3	P4	O1	O2	F7	F8	T3	T4	T5	T6	A1	A2	FZ	CZ	PZ
352.0000	-28.2934	-29.2560	-16.1497	-24.4489	-16.9077	-0.8874	1.2293	9.8725	10.8186	34.5138	-12.0208	6.0085	-15.1469	26.6758	1.2388	63.7437	0.9403	27.1762	-27.2001	-12.3142	0.4077
356.0000	-26.5530	-31.0729	-11.5089	-29.9893	-18.1339	-4.4590	2.2007	5.5558	12.3585	34.6383	-6.7876	9.0559	-13.3653	22.8808	4.5047	59.2585	8.3652	33.2621	-32.2039	-16.5038	-1.5031
360.0000	-27.4172	-31.2116	-14.3213	-28.5073	-16.6644	-1.9409	2.0820	9.5184	11.3436	34.4508	-9.1555	7.5411	-14.4277	25.1325	2.8781	61.3041	3.9094	29.5615	-30.6482	-13.8829	0.4554
364.0000	-31.0584	-32.7184	-19.4092	-26.3898	-15.7747	2.0484	2.2109	14.2642	11.0139	37.0221	-13.5749	5.0766	-17.3650	29.1114	0.6965	66.7558	-3.0188	26.7790	-28.6958	-10.2441	3.2705
368.0000	-32.0759	-34.3246	-18.7914	-29.8665	-18.5044	0.3502	1.9927	16.2972	11.9501	40.1849	-13.5291	7.8547	-18.1296	31.3691	0.7611	69.7389	-0.3563	30.0964	-32.9800	-14.5724	2.5349
372.0000	-32.7012	-37.0010	-18.1538	-34.2340	-19.5887	-0.7881	2.4352	17.2267	12.7784	42.0026	-12.2304	9.7524	-18.3422	32.1500	1.7623	71.6298	2.1600	33.0870	-37.2628	-17.0833	2.4011
376.0000	-31.2523	-37.2994	-17.3919	-36.7769	-19.9213	-2.1373	1.8713	19.7585	12.0894	40.9868	-11.5732	11.5152	-17.3960	33.6041	1.5877	73.3539	4.0332	32.1377	-39.9133	-19.2495	1.9734
380.0000	-29.7205	-37.0127	-17.9320	-36.7861	-17.6560	-0.9647	1.9101	22.3336	10.7265	38.3765	-11.3645	10.8348	-16.6904	33.6532	1.0694	71.9248	2.2828	28.4232	-39.3259	-17.3599	3.2778
384.0000	-30.4933	-35.5670	-20.3899	-32.2148	-15.2738	2.6466	2.3017	23.6634	9.9293	37.7079	-13.5246	7.7749	-17.9128	33.2414	-0.3731	68.9029	-3.5353	24.7087	-34.5053	-12.6617	5.5749
388.0000	-28.0136	-32.8053	-17.3665	-31.9187	-17.1135	-0.3122	1.2435	22.3980	9.7093	36.4924	-12.3493	9.9928	-16.3067	32.5107	-0.3852	66.6664	0.4573	25.3070	-35.0321	-16.3955	3.2213
392.0000	-26.2681	-31.3526	-15.6033	-31.9654	-17.7749	-2.1162	0.6132	21.3408	9.3993	35.0653	-11.4051	11.0739	-14.9975	31.9196	-0.2022	65.8289	2.9245	25.2155	-35.3317	-18.1514	1.7874
396.0000	-23.5725	-29.9377	-12.5614	-33.1187	-18.2918	-4.5834	0.2317	19.7121	9.1714	33.0644	-9.0297	12.8452	-13.0664	30.1400	0.6357	62.6759	6.9206	25.8481	-36.5430	-20.6737	0.1333
400.0000	-19.1780	-29.6997	-6.4413	-38.4621	-19.5824	-9.8793	0.1319	15.8791	9.5484	30.3570	-3.2128	16.9289	-9.4630	26.5424	3.4858	58.1093	16.2657	29.6220	-41.5769	-26.3091	-3.0660
404.0000	-21.9221	-25.8352	-10.6657	-28.8700	-18.9073	-5.3861	-0.3916	16.9322	8.9725	31.7895	-8.9867	12.6760	-12.3058	27.8924	0.1504	57.2752	7.5676	25.3449	-32.9758	-21.1322	-1.2222
408.0000	-16.9057	-23.4060	-4.5484	-31.6488	-20.7856	-11.3139	-1.5017	12.3479	8.7952	28.0246	-4.3568	16.4314	-8.1840	24.8820	2.1379	54.1168	16.7743	27.5073	-35.9678	-26.8639	-5.5349
412.0000	-14.0161	-22.3945	-2.1526	-33.6077	-21.4342	-14.3546	-2.5261	11.7986	8.0165	25.2564	-2.5948	18.4145	-5.7802	24.8792	2.6277	55.3201	21.0305	26.8229	-37.9989	-29.6814	-7.6252
416.0000	-17.9954	-21.1295	-7.3202	-27.7209	-22.0493	-10.5307	-3.2560	15.9274	7.7146	28.6693	-8.9288	15.7516	-9.2733	29.4081	-0.8401	60.3772	13.2496	23.6882	-33.3377	-26.6963	-5.7078
420.0000	-19.2309	-20.2962	-8.0001	-26.1190	-23.7895	-10.7829	-3.8938	16.0449	8.0752	30.4786	-10.7671	15.9292	-10.1687	30.9996	-1.7447	62.8915	12.7771	24.3313	-32.6039	-27.7458	-6.3846
424.0000	-19.9452	-18.4483	-10.9398	-21.0778	-21.3796	-6.8684	-3.7738	18.7579	6.9073	29.7172	-13.6455	12.8645	-11.5526	31.4643	-3.8263	60.4420	6.1483	19.5104	-27.5035	-23.0102	-3.8408
428.0000	-18.0873	-17.1832	-11.1308	-18.9205	-17.8563	-4.7918	-3.1906	18.7242	5.6264	26.0735	-12.8264	10.6751	-10.6469	28.9237	-3.8683	54.8984	3.4345	15.5701	-24.3071	-18.9035	-2.2132
432.0000	-19.1326	-12.9231	-14.8495	-8.8540	-15.0943	-0.3542	-3.6245	17.3993	4.2773	24.0170	-17.2392	5.0905	-11.8049	28.2653	-6.3711	53.1118	-4.9800	9.2883	-14.2631	-11.3672	-0.5919
436.0000	-17.4052	-9.4520	-12.7269	-4.8398	-14.7047	-0.8146	-3.6596	12.7811	4.2857	22.0576	-16.1678	4.1337	-10.7275	24.3831	-5.9649	46.2928	-4.2512	9.2494	-10.3081	-10.4559	-1.7052
440.0000	-15.6895	-8.3369	-9.8531	-5.0991	-14.8949	-2.3120	-3.3031	9.5380	4.7516	21.0805	-13.6145	5.0066	-9.5323	21.1260	-4.6634	40.6750	-1.1730	11.2698	-10.4258	-11.7590	-2.7910
444.0000	-15.2803	-9.2981	-10.4714	-7.1781	-14.2387	-1.5705	-3.2081	14.1991	4.0545	21.0897	-13.7387	5.9192	-9.8409	22.8396	-5.3668	40.7153	-2.1301	9.6352	-12.4529	-12.2939	-1.3840
448.0000	-13.7439	-8.1147	-10.4513	-7.4100	-14.0197	-1.5563	-3.8933	18.5715	2.8134	19.9575	-14.3128	7.0158	-9.4979	24.6013	-6.7318	40.1966	-2.7109	6.6792	-13.0922	-13.4293	-0.8712
